Covesion Ltd.
MSHG2600-1.0-xx Phase matching data v1.0
Disclaimer: Please note these are calculated values only and actual values may vary.

Temperature,34.00μm,34.80μm,35.50μm,35.80μm,35.97μm,,Temperature,34.00μm,34.80μm,35.50μm,35.80μm,35.97μm
101.4,2294.5251965523,2393.8822650909,2535.2718734741,,,,128.6,3232.0384538174,3065.6372320652,2848.1476211548,,
102.08,2294.8738837242,2394.3757915497,2536.2331771851,,,,127.92,3232.5390183926,3066.2994372845,2849.6307754517,,
102.76,2295.2315115929,2394.862165451,2537.2002029419,,,,127.24,3233.0434936285,3066.9616425037,2851.1015701294,,
103.44,2295.5891394615,2395.3556919098,2538.1729507446,,,,126.56,3233.5440582037,3067.623847723,2852.5476455688,,
104.12,2295.9467673302,2395.8492183685,2539.1514205933,,,,125.88,3234.0524441004,3068.280838728,2853.9813613892,,
104.8,2296.3043951988,2396.3427448273,2540.1413345337,,,,125.2,3234.5530086756,3068.9378297329,2855.4027175903,,
105.48,2296.6620230675,2396.836271286,2541.13697052,,,,124.52,3235.0457519293,3069.5948207378,2856.8055343628,,
106.16,2297.0196509361,2397.3369503021,2542.1383285522,,,,123.84,3235.5463165045,3070.2465975285,2858.1959915161,,
106.84,2297.3772788048,2397.8376293182,2543.1511306763,,,,123.16,3236.0468810797,3070.8983743191,2859.5740890503,,
107.52,2297.7438473701,2398.3383083343,2544.1696548462,,,,122.48,3236.5396243334,3071.5501511097,2860.9336471558,,
108.2,2298.1014752388,2398.8389873505,2545.1996231079,,,,121.8,3237.0401889086,3072.196713686,2862.2808456421,,
108.88,2298.4680438042,2399.3468189239,2546.2295913696,,,,121.12,3237.5329321623,3072.8432762623,2863.6156845093,,
109.56,2298.8346123695,2399.8546504974,2547.276725769,,,,120.44,3238.025675416,3073.4846246243,2864.9381637573,,
110.24,2299.1922402382,2400.3624820709,2548.3295822144,,,,119.76,3238.5184186697,3074.1311872005,2866.2544631958,,
110.92,2299.5588088036,2400.8703136444,2549.3881607056,,,,119.08,3239.0111619234,3074.7673213482,2867.5522232056,,
111.6,2299.9253773689,2401.3781452179,2550.4581832886,,,,118.4,3239.4960838556,3075.4086697102,2868.8376235962,,
112.28,2300.2919459343,2401.8931293488,2551.5396499634,,,,117.72,3239.9888271093,3076.0448038578,2870.1106643677,,
112.96,2300.6585144997,2402.4081134796,2552.6268386841,,,,117.04,3240.4737490416,3076.6809380055,2871.3775253296,,
113.64,2301.0340237617,2402.9230976105,2553.7254714966,,,,116.36,3240.9664922953,3077.3118579388,2872.63048172,,
114.32,2301.4005923271,2403.4380817413,2554.829826355,,,,115.68,3241.4514142275,3077.9427778721,2873.8726234436,,
115,2301.7671608925,2403.9602184296,2555.9513473511,,,,115,3241.9363361597,3078.5736978054,2875.1054954529,,
115.68,2302.1426701546,2404.4752025604,2557.0785903931,,,,114.32,3242.4212580919,3079.1994035244,2876.3290977478,,
116.36,2302.5181794167,2404.9973392487,2558.211555481,,,,113.64,3242.9061800242,3079.8251092434,2877.534160614,,
117.04,2302.884747982,2405.5266284943,2559.3616867065,,,,112.96,3243.3832806349,3080.4508149624,2878.7392234802,,
117.72,2303.2602572441,2406.0487651825,2560.5232620239,,,,112.28,3243.8682025671,3081.0713064671,2879.9350166321,,
118.4,2303.6357665062,2406.5780544281,2561.6905593872,,,,111.6,3244.3453031778,3081.6917979717,2881.1122703552,,
119.08,2304.0112757683,2407.1073436737,2562.8750228882,,,,110.92,3244.8224037886,3082.3122894764,2882.2895240784,,
119.76,2304.3867850304,2407.6366329193,2564.0652084351,,,,110.24,3245.2995043993,3082.9275667667,2883.4575080872,,
120.44,2304.7712349892,2408.1659221649,2565.2725601196,,,,109.56,3245.77660501,3083.5428440571,2884.6069526672,,
121.12,2305.1467442512,2408.7023639679,2566.491355896,,,,108.88,3246.2537056208,3084.1581213474,2885.7563972473,,
121.8,2305.5222535133,2409.2388057709,2567.7215957642,,,,108.2,3246.7308062315,3084.7681844235,2886.896572113,,
122.48,2305.9067034721,2409.7752475738,2568.9632797241,,,,107.52,3247.2079068422,3085.3782474995,2888.0274772644,,
123.16,2306.2911534309,2410.3116893768,2570.2164077759,,,,106.84,3247.6771861315,3085.9883105755,2889.1491127014,,
